id,type,title,nimg,description,img
13,飲食ブース,スパイスタリテマスカ？⭐️,2,"福井市でインドカレー屋を営んでいるスパイスタリテマスカ？です！

フェスといえばカレー！！

当日はスパイスカレーとビリヤニとスパブリトー、を提供いたします。

",https://code4fukui.github.io/sabaejazzfes2025/img/13_1.jpeg
14,飲食ブース,marQ coffee⭐️,1,"敦賀市 野坂岳の麓近くにあるちいさなコーヒー焙煎所です。

ラベンダーグレーいろのコーヒートラックにコーヒー豆とドリンクをのせ、あちこち出かけています。まるく、やわらかく、こうばしい味わいのドリップコーヒーとデカフェの豆で作る甘くほろ苦いカフェ・オ・レがおすすめです。

",https://code4fukui.github.io/sabaejazzfes2025/img/14_1.jpg
15,飲食ブース,エスニカ⭐️,1,"【良い音楽には良いお酒と良いご飯】をモットーに。

スパイスカレーやスパイス煮込み、プレミアムウイスキーなどを

メインに各地で出店しています！

鯖江JAZZ FESを飲食で盛り上げるべく今年も参戦いたします！

一緒に良い音楽と共に酔いしれましょう！

",https://code4fukui.github.io/sabaejazzfes2025/img/15_1.jpg
16,飲食ブース,FOOD TRUCK GOONIES⭐️,1,"焼肉屋、ステーキ屋などお肉店経営者が自ら厳選したブロック肉をカットし福井県産のお米に乗せ自家製のタレに絡めた丼物です。1本1本手差ししてる特選牛串など素敵な音楽と共に素敵な日のお手伝いが出来たらと思います。

",https://code4fukui.github.io/sabaejazzfes2025/img/16_1.jpeg
17,飲食ブース,クラフトブース出店者　38すい～つ⭐️,3,"福井市下馬にあるThree8のスイーツブランド『38すい～つ』

味はもちろん、見た目もかわいい！生ど～なつです。

もちっもちの生地の中には、はち切れる寸前までクリームを搾りました。

クリームはそこまでしつこくなく、あっさりしているのでぺろっと食べれちゃいます。

見た目はまん丸で味によってトッピングも違うので写真映えも間違えなし！

みんなでオシャレに撮影してSNSで拡散してください♪



",https://code4fukui.github.io/sabaejazzfes2025/img/17_1.jpeg
18,飲食ブース,RAKUDA PIZZA HAKUBA⭐️,2,"生地は国産小麦で手作り。水は北アルプスの天然水を使用。トマトソースとキノコソースは長野県産の無農薬野菜で作った自家製ソース！1枚ずつ丁寧に石窯で焼いてます。2種類の味を楽しめるハーフ&ハーフのピザも人気です！

",https://code4fukui.github.io/sabaejazzfes2025/img/18_1.jpeg
19,飲食ブース,らーめんムラナカ⭐️,2,"らーめんムラナカ福井市文京で営んでるらーめん屋です。豊富なメニューで老若男女に愛されるらーめん屋です。

昔ながらの中華そばで出店致します。

",https://code4fukui.github.io/sabaejazzfes2025/img/19_1.jpeg
20,飲食ブース,富士商店⭐️,6,"3つの異なるヘンテコなお店が【富士商店】として一つになり、バラエティ豊かなご飯・おつまみ・ドリンクを用意して皆様のお越しをお待ちしてます！

",https://code4fukui.github.io/sabaejazzfes2025/img/20_1.jpg
21,飲食ブース,クラフトブース出店者　FOOD TRUCK U.S.A. EAT ME⭐️,2,"アメリカ、インターナショナル社製の大型スクールバス。アメリカのソウルフード、ホットドッグをメインにリアルなストリートフードを展開します。鯖江の街中でジャズを聴きながら、熱々のフランクフルトとクラフトビールで乾杯。気分は一気にニューオーリンズへ。ぜひ会場でお会いしましょう！

",https://code4fukui.github.io/sabaejazzfes2025/img/21_1.jpeg
22,飲食ブース,マルツ食堂⭐️,3,"問屋町で、パン食べ放題とパスタを提供している

マルツ食堂です。



大人からお子様まで、喜ばれる

モチモチパスタ！

大きな具材と、色々なソースがモチモチパスタに絡み大人気のパスタです！





",https://code4fukui.github.io/sabaejazzfes2025/img/22_1.jpeg
23,飲食ブース,ASOBASE cafe&Lounge⭐️,2,"樽生ビールとウイスキーを中心にご提供しています。

普段は福井県今庄のキャンプ場で営業しており、外で飲むお酒の美味しさを大切にしています。

定番のハイボールから、他のキッチンカーではあまり見かけない銘柄までご用意していますので、音楽と一緒にぜひ一杯どうぞ。

",https://code4fukui.github.io/sabaejazzfes2025/img/23_1.jpg
24,飲食ブース,手打ち蕎麦　みきのや⭐️,5,"当店は地元の食材を使用した料理で５０年間おもてなしをする居酒屋みきのやです。

漁師の祖父が鯖江に居酒屋を開き、越前町の海産物を新鮮な状態で仕入れ、お客様に喜んでいただいています。

３代目は海鮮に加え、福井の伝統の食【おろし蕎麦】を手打ち10割で提供することにしました。

大野勝山産にこだわったそば粉を福井の美味しいお水のみで手打ちした10割蕎麦、辛味の効いた大根おろし、蕎麦の香りを邪魔しない醤油だしでお作りします。

こだわりの一品です。是非ご賞味くださいませ。

",https://code4fukui.github.io/sabaejazzfes2025/img/24_1.jpeg
25,飲食ブース,御園飯店⭐️,3,"創業１９７２年の福井県鯖江市にある老舗町中華「御園飯店」。名物の「豚かしら肉の御園餃子」はJFS２０２３年１１月最高賞「グランプリ」を獲得。濃厚な旨味溢れる町中華の餃子。またクラウドファンディングで誕生した福井の小麦とお米で出来た福井の肉まん「福まん」も生地がおいしいと大人気！是非一度食べてみて下さい。

",https://code4fukui.github.io/sabaejazzfes2025/img/25_1.jpg
26,飲食ブース,ミート＆デリカささき⭐️,1,"昭和23年創業のお肉屋さんです。鯖江JAZZフェスでは「歩くソースカツ丼サバエドッグ」を販売します。

サバエドッグは、福井県のご当地グルメのソースカツ丼を歩きながら手軽に食べられるようにした、フェスにピッタリな当店発祥の鯖江のご当地グルメです！

皆さんのご来場お待ちしております。



",https://code4fukui.github.io/sabaejazzfes2025/img/26_1.jpg
27,飲食ブース,Soba 月山(Gezan)⭐️,1,"100％福井県産(永平寺産)そば粉使用、

驚くほどのコシと香り。

やや太めのしっかりとした麺

カツオと昆布の効いた出汁

The福井の【十割蕎麦】をお楽しみください。



",https://code4fukui.github.io/sabaejazzfes2025/img/27_1.jpg
28,飲食ブース,山うにの里ほやっ停⭐️,1,"「山うに」は、柚子・塩・赤なんば・鷹の爪を擦り合わせたもので、江戸時代より受け継がれてきた福井県の伝統調味料です。山うにたこ焼きは、柚子の爽やかさと唐辛子の辛味が聞いた、さっぱりとして深い旨みが特徴です。山うにたこ焼きは、たこ焼き自体は辛くなく、万人向けの食べやすい味わいとなっています。

",https://code4fukui.github.io/sabaejazzfes2025/img/28_1.jpg
29,飲食ブース,ココロノカオリ⭐️,1,"身体の内臓からメンテナンスしていく意識を心がけ、毎日の食生活習慣を美的改革してほしい。

そんな想いを込めて、自然の薬草である、ハーブやスパイスを取り入れたスパイスカレーと、地元の食材をいかした、健康に安心なお料理を提供しているお店です。

当店人気No.1の『スパイスチキンカレー』は、20種類以上のスパイスをブレンドし、じっくり時間をかけて煮込みあげる本格カレー。

マイルドな甘味で、スパイス初心者の方や、辛いのが苦手なお子様でも気軽に食べれます。お米は100％福井産の玄米を使用。

自己免疫力もアップする、健康にも良いスパイスカレーです。

",https://code4fukui.github.io/sabaejazzfes2025/img/29_1.jpeg
30,飲食ブース,Teto・平凡珈琲⭐️,2,"パン屋とコーヒー屋

テトパン：シンプルな材料でより美味しくを心がけて１つ1つ手作りしております。国産小麦、自家製発酵種を使い長時間ゆっくり発酵させて作るジャパニーズスタイルのベーグル、ハード系をご賞味ください。

平凡珈琲：自宅の庭の小さな小屋で焙煎しています。使うのはFUJI ROYALの手廻し焙煎機。この焙煎機は、ガスコンロの上で窯をひたすら手で廻し続けるものでガス圧目盛り、温度計、排気量調整は一切なく、信じるのは自分の感覚のみ。そんなロマンあふれるところが気に入ってこだわって焙煎しています。そんな平凡だけど普通じゃない珈琲を一度ご賞味下さい！

",https://code4fukui.github.io/sabaejazzfes2025/img/30_1.jpeg
31,飲食ブース,寅こや⭐️,1,"横市町にある寅こやです！

福井県ではおそらく初上陸の≪ケバブチップス≫！！

みんな大好きポテチの上にキャベツ・チキンケバブのふんだんに乗せたおすすめの一品です！

手も汚れずフェスには最高のお料理です。

その他、アルコール類・ソフトドリンクもご用意しております！

是非一度ご賞味ください！！

",https://code4fukui.github.io/sabaejazzfes2025/img/31_1.jpg
32,飲食ブース,クラフトブース出店者　鳥八商店⭐️,1,"当社は1968年創業した県内唯一の鶏肉専門の卸売業者です。鳥八独自味付けの新鮮な国産手羽先をお楽しみください。

",https://code4fukui.github.io/sabaejazzfes2025/img/32_1.jpg
